iteration,seed_0,seed_1,seed_2
0,-11.616927348836413,-17.721766930086513,-20.29771410006407
10,-11.169461410464686,-13.596857582636687,-19.57665195357746
20,-11.138809343370173,-14.502994659762853,-16.36942246153196
30,-11.440959177924546,-15.781453478594205,-17.77405611817716
40,-10.9209533082262,-14.614589402390106,-16.50720434886252
50,-11.08647224757034,-14.147896933812802,-15.066015373047119
60,-10.851372542239655,-13.053001253798874,-15.051687794385078
70,-10.880172373198857,-13.873701211234907,-13.314258114294272
80,-9.52843085935039,-10.545450321064932,-12.338637845105382
90,-11.34626303978412,-12.088471137089837,-13.221658138974075
100,-11.000476484220657,-10.380854561181419,-12.089753497343148
110,-10.656707295472465,-11.02735852180904,-12.717479942923143
120,-10.491837405971767,-11.187876201855104,-10.803932867321226
130,-9.884955999635064,-10.455478546632275,-11.02200497789343
140,-9.340411159990428,-11.479582410505957,-10.487978044624471
150,-10.176380802971696,-10.922061617378874,-9.398447854953453
160,-11.764619622163185,-11.970278785706268,-9.808444157405486
170,-10.560912549637745,-10.147099277937942,-10.917645516399503
180,-9.808279864080442,-11.18159507770495,-8.5641782020858
190,-11.990131069472008,-10.89755063679902,-10.928915033565952
200,-12.069152903732842,-11.042627091422947,-10.390213133215374
210,-10.784549201584388,-13.030101277202348,-10.33024938124783
220,-9.172821089119543,-12.731443462947544,-8.529475750174521
230,-10.890182613443372,-11.57974860015819,-8.876642293787636
240,-12.376125097522163,-11.222171412852097,-7.495721032868474
